price_lakhs,area_sqft,bedrooms,bathrooms,location,property_type,furnishing,parking,year_built,city,property_age,age_decade,is_new_build,area_per_bedroom,bath_to_bed_ratio,price_per_sqft,size_category,price_segment,value_score,has_parking,amenity_score,city_tier,city_avg_price,location_price_rank
90.7,3130,2,2,OMR,Villa,Semi-Furnished,1,2008,Chennai,18,2000,0,1565.0,1.0,2897.76,Extra Large,Mid-Range,34.51,1,1.5,2,71.75,29
109.92,2884,3,4,Koregaon Park,Independent House,Semi-Furnished,1,2015,Pune,11,2010,0,961.3,1.33,3811.37,Extra Large,Premium,26.24,1,1.5,2,72.89,23
40.84,500,4,4,Sholinganallur,Apartment,Semi-Furnished,0,2011,Chennai,15,2010,0,125.0,1.0,8168.0,Compact,Affordable,12.24,0,0.5,2,71.75,27
125.72,3196,3,3,Yelahanka,Independent House,Furnished,1,2014,Bangalore,12,2010,0,1065.3,1.0,3933.67,Extra Large,Premium,25.42,1,2.0,1,84.53,19
81.13,2924,3,4,Pimpri,Independent House,Unfurnished,0,2006,Pune,20,2000,0,974.7,1.33,2774.62,Extra Large,Mid-Range,36.04,0,0.0,2,72.89,39
35.94,500,4,3,Kondapur,Apartment,Furnished,0,2003,Hyderabad,23,2000,0,125.0,0.75,7188.0,Compact,Affordable,13.91,0,1.0,2,76.19,32
66.69,2048,2,1,Hinjewadi,Independent House,Unfurnished,0,2018,Pune,8,2010,1,1024.0,0.5,3256.35,Large,Mid-Range,30.71,0,0.0,2,72.89,25
105.43,2679,4,3,T Nagar,Independent House,Semi-Furnished,1,2016,Chennai,10,2010,0,669.8,0.75,3935.42,Large,Premium,25.41,1,1.5,2,71.75,36
127.37,1871,2,2,Bandra,Independent House,Furnished,1,1995,Mumbai,31,1990,0,935.5,1.0,6807.59,Large,Premium,14.69,1,2.0,1,145.65,2
65.39,1138,3,3,Navi Mumbai,Apartment,Semi-Furnished,1,2005,Mumbai,21,2000,0,379.3,1.0,5746.05,Medium,Mid-Range,17.4,1,1.5,1,145.65,8
57.01,1416,1,1,Sholinganallur,Apartment,Unfurnished,1,2002,Chennai,24,2000,0,1416.0,1.0,4026.13,Medium,Mid-Range,24.84,1,1.0,2,71.75,27
88.4,2557,3,3,Wakad,Independent House,Semi-Furnished,2,2010,Pune,16,2010,0,852.3,1.0,3457.18,Large,Mid-Range,28.93,1,2.5,2,72.89,28
163.01,3452,3,3,Koramangala,Villa,Furnished,0,2017,Bangalore,9,2010,0,1150.7,1.0,4722.19,Extra Large,Luxury,21.18,0,1.0,1,84.53,9
97.78,2955,1,1,Hinjewadi,Independent House,Semi-Furnished,2,2004,Pune,22,2000,0,2955.0,1.0,3308.97,Extra Large,Mid-Range,30.22,1,2.5,2,72.89,25
93.12,2273,3,2,Hinjewadi,Independent House,Unfurnished,2,2015,Pune,11,2010,0,757.7,0.67,4096.79,Large,Mid-Range,24.41,1,2.0,2,72.89,25
50.86,507,3,3,Electronic City,Apartment,Furnished,0,2013,Bangalore,13,2010,0,169.0,1.0,10031.56,Compact,Mid-Range,9.97,0,1.0,1,84.53,10
29.6,500,3,4,Koregaon Park,Apartment,Semi-Furnished,0,2011,Pune,15,2010,0,166.7,1.33,5920.0,Compact,Affordable,16.89,0,0.5,2,72.89,23
66.61,1532,1,1,Sholinganallur,Independent House,Unfurnished,0,2022,Chennai,4,2020,1,1532.0,1.0,4347.91,Medium,Mid-Range,23.0,0,0.0,2,71.75,27
60.81,1554,4,3,Banjara Hills,Independent House,Unfurnished,1,1995,Hyderabad,31,1990,0,388.5,0.75,3913.13,Medium,Mid-Range,25.56,1,1.0,2,76.19,15
93.64,2383,3,4,JP Nagar,Independent House,Unfurnished,1,2008,Bangalore,18,2000,0,794.3,1.33,3929.5,Large,Mid-Range,25.45,1,1.0,1,84.53,13
51.3,1465,3,3,Pimpri,Apartment,Furnished,2,2023,Pune,3,2020,1,488.3,1.0,3501.71,Medium,Mid-Range,28.56,1,3.0,2,72.89,39
101.69,2353,1,1,Kondapur,Independent House,Unfurnished,0,2023,Hyderabad,3,2020,1,2353.0,1.0,4321.72,Large,Premium,23.14,0,0.0,2,76.19,32
68.15,1363,1,1,Koramangala,Villa,Furnished,1,1999,Bangalore,27,1990,0,1363.0,1.0,5000.0,Medium,Mid-Range,20.0,1,2.0,1,84.53,9
101.64,822,3,2,Worli,Apartment,Furnished,1,2001,Mumbai,25,2000,0,274.0,0.67,12364.96,Compact,Premium,8.09,1,2.0,1,145.65,1
49.43,500,2,2,JP Nagar,Apartment,Furnished,2,2012,Bangalore,14,2010,0,250.0,1.0,9886.0,Compact,Affordable,10.12,1,3.0,1,84.53,13
95.1,2067,3,3,Banjara Hills,Independent House,Semi-Furnished,0,2014,Hyderabad,12,2010,0,689.0,1.0,4600.87,Large,Mid-Range,21.74,0,0.5,2,76.19,15
96.38,2339,2,2,Baner,Villa,Furnished,2,2007,Pune,19,2000,0,1169.5,1.0,4120.56,Large,Mid-Range,24.27,1,3.0,2,72.89,30
25.96,948,4,3,Pimpri,Apartment,Unfurnished,2,1996,Pune,30,1990,0,237.0,0.75,2738.4,Compact,Affordable,36.52,1,2.0,2,72.89,39
89.85,2573,1,1,Pimpri,Independent House,Unfurnished,1,1997,Pune,29,1990,0,2573.0,1.0,3492.03,Large,Mid-Range,28.64,1,1.0,2,72.89,39
34.15,611,1,1,Wakad,Apartment,Unfurnished,1,2010,Pune,16,2010,0,611.0,1.0,5589.2,Compact,Affordable,17.89,1,1.0,2,72.89,28
111.73,1050,1,2,Navi Mumbai,Apartment,Semi-Furnished,2,2017,Mumbai,9,2010,0,1050.0,2.0,10640.95,Medium,Premium,9.4,1,2.5,1,145.65,8
86.05,1767,4,3,JP Nagar,Independent House,Unfurnished,1,2023,Bangalore,3,2020,1,441.8,0.75,4869.84,Medium,Mid-Range,20.53,1,1.0,1,84.53,13
121.98,3323,4,4,Indiranagar,Independent House,Unfurnished,2,2016,Bangalore,10,2010,0,830.8,1.0,3670.78,Extra Large,Premium,27.24,1,2.0,1,84.53,12
71.3,1822,3,3,Hadapsar,Independent House,Unfurnished,2,2019,Pune,7,2010,1,607.3,1.0,3913.28,Large,Mid-Range,25.55,1,2.0,2,72.89,34
38.35,848,3,3,Hinjewadi,Apartment,Furnished,1,1996,Pune,30,1990,0,282.7,1.0,4522.41,Compact,Affordable,22.11,1,2.0,2,72.89,25
169.89,3020,4,4,Navi Mumbai,Villa,Furnished,1,1996,Mumbai,30,1990,0,755.0,1.0,5625.5,Extra Large,Luxury,17.78,1,2.0,1,145.65,8
123.13,2896,1,1,BTM Layout,Villa,Semi-Furnished,2,2018,Bangalore,8,2010,1,2896.0,1.0,4251.73,Extra Large,Premium,23.52,1,2.5,1,84.53,14
93.12,2278,1,1,Koramangala,Independent House,Furnished,1,1998,Bangalore,28,1990,0,2278.0,1.0,4087.8,Large,Mid-Range,24.46,1,2.0,1,84.53,9
137.9,2640,2,2,Navi Mumbai,Villa,Semi-Furnished,1,2006,Mumbai,20,2000,0,1320.0,1.0,5223.48,Large,Premium,19.14,1,1.5,1,145.65,8
151.14,1621,2,3,Bandra,Independent House,Unfurnished,2,2005,Mumbai,21,2000,0,810.5,1.5,9323.87,Medium,Luxury,10.73,1,2.0,1,145.65,2
67.53,1237,3,4,Hitech City,Apartment,Unfurnished,1,1999,Hyderabad,27,1990,0,412.3,1.33,5459.18,Medium,Mid-Range,18.32,1,1.0,2,76.19,17
102.79,3011,1,1,Anna Nagar,Villa,Unfurnished,2,2001,Chennai,25,2000,0,3011.0,1.0,3413.82,Extra Large,Premium,29.29,1,2.0,2,71.75,22
72.85,1606,1,2,Koregaon Park,Apartment,Furnished,2,2000,Pune,26,2000,0,1606.0,2.0,4536.11,Medium,Mid-Range,22.05,1,3.0,2,72.89,23
72.05,500,2,2,Powai,Apartment,Semi-Furnished,2,2016,Mumbai,10,2010,0,250.0,1.0,14410.0,Compact,Mid-Range,6.94,1,2.5,1,145.65,4
63.1,1421,2,3,T Nagar,Apartment,Semi-Furnished,2,2006,Chennai,20,2000,0,710.5,1.5,4440.53,Medium,Mid-Range,22.52,1,2.5,2,71.75,36
108.99,3328,4,5,Velachery,Villa,Semi-Furnished,1,1999,Chennai,27,1990,0,832.0,1.25,3274.94,Extra Large,Premium,30.53,1,1.5,2,71.75,33
70.79,950,1,2,Whitefield,Apartment,Unfurnished,1,2005,Bangalore,21,2000,0,950.0,2.0,7451.58,Compact,Mid-Range,13.42,1,1.0,1,84.53,11
46.54,1610,3,4,Pimpri,Apartment,Unfurnished,0,1998,Pune,28,1990,0,536.7,1.33,2890.68,Medium,Affordable,34.59,0,0.0,2,72.89,39
74.86,1721,2,2,Koramangala,Apartment,Furnished,0,1997,Bangalore,29,1990,0,860.5,1.0,4349.8,Medium,Mid-Range,22.99,0,1.0,1,84.53,9
68.04,1997,1,2,Begumpet,Independent House,Unfurnished,1,1995,Hyderabad,31,1990,0,1997.0,2.0,3407.11,Large,Mid-Range,29.35,1,1.0,2,76.19,35
88.1,2736,3,3,LB Nagar,Independent House,Furnished,0,2019,Hyderabad,7,2010,1,912.0,1.0,3220.03,Large,Mid-Range,31.06,0,1.0,2,76.19,38
77.61,1719,4,4,JP Nagar,Independent House,Furnished,1,2018,Bangalore,8,2010,1,429.8,1.0,4514.83,Medium,Mid-Range,22.15,1,2.0,1,84.53,13
105.42,2820,2,3,Kondapur,Independent House,Unfurnished,0,2019,Hyderabad,7,2010,1,1410.0,1.5,3738.3,Extra Large,Premium,26.75,0,0.0,2,76.19,32
55.49,1299,4,4,LB Nagar,Apartment,Unfurnished,1,2024,Hyderabad,2,2020,1,324.8,1.0,4271.75,Medium,Mid-Range,23.41,1,1.0,2,76.19,38
36.76,636,3,3,Hitech City,Apartment,Unfurnished,1,2013,Hyderabad,13,2010,0,212.0,1.0,5779.87,Compact,Affordable,17.3,1,1.0,2,76.19,17
37.71,500,3,3,Kothrud,Apartment,Furnished,1,2013,Pune,13,2010,0,166.7,1.0,7542.0,Compact,Affordable,13.26,1,2.0,2,72.89,31
75.75,1515,2,2,Sholinganallur,Apartment,Semi-Furnished,1,2017,Chennai,9,2010,0,757.5,1.0,5000.0,Medium,Mid-Range,20.0,1,1.5,2,71.75,27
109.52,875,3,3,Borivali,Apartment,Semi-Furnished,2,2007,Mumbai,19,2000,0,291.7,1.0,12516.57,Compact,Premium,7.99,1,2.5,1,145.65,7
123.36,2868,3,3,Gachibowli,Villa,Furnished,1,2010,Hyderabad,16,2010,0,956.0,1.0,4301.26,Extra Large,Premium,23.25,1,2.0,2,76.19,16
62.57,1578,3,4,BTM Layout,Apartment,Unfurnished,1,2000,Bangalore,26,2000,0,526.0,1.33,3965.15,Medium,Mid-Range,25.22,1,1.0,1,84.53,14
104.02,2698,3,3,T Nagar,Independent House,Unfurnished,2,2022,Chennai,4,2020,1,899.3,1.0,3855.45,Large,Premium,25.94,1,2.0,2,71.75,36
78.65,2204,1,1,OMR,Independent House,Semi-Furnished,1,2015,Chennai,11,2010,0,2204.0,1.0,3568.51,Large,Mid-Range,28.02,1,1.5,2,71.75,29
39.72,500,4,4,Yelahanka,Apartment,Semi-Furnished,0,2022,Bangalore,4,2020,1,125.0,1.0,7944.0,Compact,Affordable,12.59,0,0.5,1,84.53,19
78.89,1895,2,3,Hinjewadi,Apartment,Furnished,2,2003,Pune,23,2000,0,947.5,1.5,4163.06,Large,Mid-Range,24.02,1,3.0,2,72.89,25
208.04,2887,1,2,Powai,Villa,Unfurnished,1,2017,Mumbai,9,2010,0,2887.0,2.0,7206.1,Extra Large,Luxury,13.88,1,1.0,1,145.65,4
20.26,500,4,4,Tambaram,Apartment,Furnished,1,2008,Chennai,18,2000,0,125.0,1.0,4052.0,Compact,Affordable,24.68,1,2.0,2,71.75,40
79.05,1928,1,1,Velachery,Apartment,Unfurnished,1,2003,Chennai,23,2000,0,1928.0,1.0,4100.1,Large,Mid-Range,24.39,1,1.0,2,71.75,33
52.86,1224,3,3,Hebbal,Apartment,Semi-Furnished,0,2020,Bangalore,6,2020,1,408.0,1.0,4318.63,Medium,Mid-Range,23.16,0,0.5,1,84.53,18
72.29,1987,1,1,Electronic City,Apartment,Semi-Furnished,1,2011,Bangalore,15,2010,0,1987.0,1.0,3638.15,Large,Mid-Range,27.49,1,1.5,1,84.53,10
49.16,1489,4,4,Hadapsar,Independent House,Unfurnished,2,2011,Pune,15,2010,0,372.2,1.0,3301.54,Medium,Affordable,30.29,1,2.0,2,72.89,34
71.69,1996,3,3,JP Nagar,Apartment,Unfurnished,2,1997,Bangalore,29,1990,0,665.3,1.0,3591.68,Large,Mid-Range,27.84,1,2.0,1,84.53,13
88.69,2087,3,4,Kondapur,Villa,Semi-Furnished,2,2005,Hyderabad,21,2000,0,695.7,1.33,4249.64,Large,Mid-Range,23.53,1,2.5,2,76.19,32
93.89,2594,4,4,Adyar,Independent House,Semi-Furnished,1,2016,Chennai,10,2010,0,648.5,1.0,3619.51,Large,Mid-Range,27.63,1,1.5,2,71.75,21
87.35,2265,1,1,JP Nagar,Apartment,Unfurnished,1,2008,Bangalore,18,2000,0,2265.0,1.0,3856.51,Large,Mid-Range,25.93,1,1.0,1,84.53,13
160.4,2347,1,1,Navi Mumbai,Villa,Furnished,1,2014,Mumbai,12,2010,0,2347.0,1.0,6834.26,Large,Luxury,14.63,1,2.0,1,145.65,8
123.48,1358,4,4,Borivali,Apartment,Semi-Furnished,0,2022,Mumbai,4,2020,1,339.5,1.0,9092.78,Medium,Premium,11.0,0,0.5,1,145.65,7
95.92,2434,2,2,Banjara Hills,Villa,Furnished,1,2013,Hyderabad,13,2010,0,1217.0,1.0,3940.84,Large,Mid-Range,25.38,1,2.0,2,76.19,15
52.99,938,2,2,Madhapur,Apartment,Unfurnished,1,2024,Hyderabad,2,2020,1,469.0,1.0,5649.25,Compact,Mid-Range,17.7,1,1.0,2,76.19,26
63.75,1617,1,1,Madhapur,Villa,Semi-Furnished,0,2013,Hyderabad,13,2010,0,1617.0,1.0,3942.49,Medium,Mid-Range,25.36,0,0.5,2,76.19,26
88.79,2981,2,2,Porur,Villa,Unfurnished,1,2013,Chennai,13,2010,0,1490.5,1.0,2978.53,Extra Large,Mid-Range,33.57,1,1.0,2,71.75,37
162.52,1462,1,1,Powai,Independent House,Semi-Furnished,1,2017,Mumbai,9,2010,0,1462.0,1.0,11116.28,Medium,Luxury,9.0,1,1.5,1,145.65,4
93.69,573,2,2,Powai,Apartment,Unfurnished,1,2012,Mumbai,14,2010,0,286.5,1.0,16350.79,Compact,Mid-Range,6.12,1,1.0,1,145.65,4
76.16,1597,2,2,Baner,Villa,Furnished,0,2013,Pune,13,2010,0,798.5,1.0,4768.94,Medium,Mid-Range,20.97,0,1.0,2,72.89,30
88.16,2702,3,3,Pimpri,Villa,Semi-Furnished,2,2020,Pune,6,2020,1,900.7,1.0,3262.77,Large,Mid-Range,30.65,1,2.5,2,72.89,39
44.38,824,1,1,Baner,Apartment,Unfurnished,2,1996,Pune,30,1990,0,824.0,1.0,5385.92,Compact,Affordable,18.57,1,2.0,2,72.89,30
110.35,3045,3,2,BTM Layout,Villa,Unfurnished,2,2016,Bangalore,10,2010,0,1015.0,0.67,3623.97,Extra Large,Premium,27.59,1,2.0,1,84.53,14
121.37,3371,1,1,Hinjewadi,Independent House,Semi-Furnished,1,2021,Pune,5,2020,1,3371.0,1.0,3600.42,Extra Large,Premium,27.77,1,1.5,2,72.89,25
46.75,1166,2,2,Kondapur,Apartment,Unfurnished,2,2009,Hyderabad,17,2000,0,583.0,1.0,4009.43,Medium,Affordable,24.94,1,2.0,2,76.19,32
24.02,838,2,1,Koregaon Park,Apartment,Unfurnished,2,1997,Pune,29,1990,0,419.0,0.5,2866.35,Compact,Affordable,34.89,1,2.0,2,72.89,23
46.59,791,4,4,Kukatpally,Apartment,Furnished,1,2016,Hyderabad,10,2010,0,197.8,1.0,5890.01,Compact,Affordable,16.98,1,2.0,2,76.19,24
62.58,1639,3,3,Hitech City,Independent House,Unfurnished,2,2019,Hyderabad,7,2010,1,546.3,1.0,3818.18,Medium,Mid-Range,26.19,1,2.0,2,76.19,17
55.1,1455,3,3,Sholinganallur,Apartment,Semi-Furnished,2,2021,Chennai,5,2020,1,485.0,1.0,3786.94,Medium,Mid-Range,26.41,1,2.5,2,71.75,27
117.48,2418,2,3,Hebbal,Independent House,Furnished,2,2010,Bangalore,16,2010,0,1209.0,1.5,4858.56,Large,Premium,20.58,1,3.0,1,84.53,18
110.54,2569,2,3,Electronic City,Apartment,Unfurnished,2,2016,Bangalore,10,2010,0,1284.5,1.5,4302.84,Large,Premium,23.24,1,2.0,1,84.53,10
106.87,2375,1,1,Koregaon Park,Independent House,Furnished,1,2021,Pune,5,2020,1,2375.0,1.0,4499.79,Large,Premium,22.22,1,2.0,2,72.89,23
45.31,832,4,3,Anna Nagar,Apartment,Unfurnished,1,2012,Chennai,14,2010,0,208.0,0.75,5445.91,Compact,Affordable,18.36,1,1.0,2,71.75,22
91.16,2924,1,1,Hitech City,Villa,Furnished,1,1999,Hyderabad,27,1990,0,2924.0,1.0,3117.65,Extra Large,Mid-Range,32.08,1,2.0,2,76.19,17
92.7,2298,2,2,T Nagar,Independent House,Semi-Furnished,1,2001,Chennai,25,2000,0,1149.0,1.0,4033.94,Large,Mid-Range,24.79,1,1.5,2,71.75,36
117.01,3199,1,1,Indiranagar,Villa,Unfurnished,0,2005,Bangalore,21,2000,0,3199.0,1.0,3657.71,Extra Large,Premium,27.34,0,0.0,1,84.53,12
132.34,2679,2,3,Indiranagar,Independent House,Furnished,1,2021,Bangalore,5,2020,1,1339.5,1.5,4939.9,Large,Premium,20.24,1,2.0,1,84.53,12
