property_id,location,property_type,bedrooms,bathrooms,area_sqft,price_lakhs,price_per_sqft,year_built,property_age,status,furnishing,parking,city,date_listed,date_sold,days_on_market,listing_month,listing_quarter,listing_year
42,Electronic City,Apartment,4,2,3151,89.28,2833.39,2019,5,Sold,Unfurnished,0,Bangalore,2022-06-18,2022-10-16,120.0,6,2,2022
43,BTM Layout,Apartment,3,1,2621,82.11,3132.77,2022,2,Sold,Unfurnished,2,Bangalore,2023-10-04,2024-01-16,104.0,10,4,2023
44,Whitefield,Apartment,1,3,1546,77.47,5011.0,2016,8,Available,Semi-Furnished,0,Bangalore,2023-06-15,,,6,2,2023
45,Indiranagar,Villa,2,1,3221,48.04,1491.46,2000,24,Available,Semi-Furnished,2,Bangalore,2022-12-02,,,12,4,2022
46,Whitefield,Villa,3,1,2064,67.0,3246.12,1999,25,Under Negotiation,Furnished,0,Bangalore,2023-05-28,,,5,2,2023
47,Yelahanka,Villa,1,2,793,73.48,9266.08,2019,5,Sold,Unfurnished,0,Bangalore,2022-05-10,2022-07-30,81.0,5,2,2022
48,Indiranagar,Villa,3,3,1446,111.43,7706.09,2004,20,Sold,Furnished,0,Bangalore,2023-06-23,2023-11-29,159.0,6,2,2023
49,Electronic City,Villa,2,3,3362,93.59,2783.76,2002,22,Available,Furnished,1,Bangalore,2023-05-29,,,5,2,2023
50,BTM Layout,Apartment,1,2,2015,40.92,2030.77,2001,23,Available,Furnished,0,Bangalore,2022-09-07,,,9,3,2022
51,Whitefield,Villa,2,1,3697,93.1,2518.26,2001,23,Available,Unfurnished,0,Bangalore,2022-05-18,,,5,2,2022
52,Indiranagar,Villa,2,1,2058,75.37,3662.29,2000,24,Sold,Furnished,0,Bangalore,2022-10-02,2022-12-20,79.0,10,4,2022
53,Yelahanka,Apartment,1,1,2820,68.08,2414.18,2015,9,Sold,Furnished,2,Bangalore,2023-04-09,2023-07-14,96.0,4,2,2023
54,Indiranagar,Villa,1,1,3971,100.29,2525.56,2023,1,Sold,Furnished,0,Bangalore,2022-05-21,2022-09-17,119.0,5,2,2022
55,Hebbal,Apartment,1,3,2268,110.77,4884.04,2014,10,Sold,Furnished,2,Bangalore,2022-09-13,2022-12-20,98.0,9,3,2022
56,Yelahanka,Apartment,4,3,2973,108.28,3642.11,1997,27,Sold,Furnished,0,Bangalore,2023-04-01,2023-07-29,119.0,4,2,2023
57,Electronic City,Independent House,1,2,2033,64.02,3149.04,2013,11,Available,Furnished,0,Bangalore,2023-03-10,,,3,1,2023
58,BTM Layout,Independent House,1,2,1741,77.27,4438.25,2016,8,Sold,Unfurnished,1,Bangalore,2023-08-30,2024-01-06,129.0,8,3,2023
59,Electronic City,Independent House,1,3,3483,93.28,2678.15,2009,15,Sold,Furnished,2,Bangalore,2022-06-22,2022-08-03,42.0,6,2,2022
60,Whitefield,Independent House,1,3,2410,109.39,4539.0,1998,26,Available,Semi-Furnished,0,Bangalore,2023-04-18,,,4,2,2023
61,Indiranagar,Villa,3,1,1323,73.02,5519.27,2022,2,Sold,Furnished,2,Bangalore,2023-02-27,2023-03-29,30.0,2,1,2023
62,Hebbal,Independent House,4,1,824,80.36,9752.43,2006,18,Available,Furnished,2,Bangalore,2023-03-15,,,3,1,2023
63,Yelahanka,Apartment,2,2,1131,57.34,5069.85,2000,24,Sold,Unfurnished,1,Bangalore,2022-02-26,2022-04-02,35.0,2,1,2022
64,Yelahanka,Villa,1,3,712,55.09,7737.36,2013,11,Sold,Unfurnished,1,Bangalore,2023-05-13,2023-08-12,91.0,5,2,2023
65,Indiranagar,Independent House,3,2,2787,105.31,3778.61,1998,26,Under Negotiation,Semi-Furnished,1,Bangalore,2023-09-06,,,9,3,2023
66,Hebbal,Apartment,3,3,1158,118.91,10268.57,2009,15,Under Negotiation,Semi-Furnished,1,Bangalore,2022-06-18,,,6,2,2022
67,Indiranagar,Villa,3,1,2648,83.2,3141.99,2003,21,Sold,Unfurnished,1,Bangalore,2023-08-05,2023-09-30,56.0,8,3,2023
68,Whitefield,Villa,2,2,2737,110.09,4022.29,1999,25,Available,Unfurnished,1,Bangalore,2023-07-15,,,7,3,2023
69,Electronic City,Independent House,1,2,1253,94.04,7505.19,2007,17,Sold,Furnished,1,Bangalore,2023-03-04,2023-05-11,68.0,3,1,2023
70,Yelahanka,Villa,4,3,919,68.87,7494.02,2017,7,Sold,Unfurnished,1,Bangalore,2023-02-23,2023-04-10,46.0,2,1,2023
71,Whitefield,Apartment,4,1,2173,94.03,4327.2,2020,4,Sold,Semi-Furnished,0,Bangalore,2022-12-13,2023-04-20,128.0,12,4,2022
72,Electronic City,Villa,3,2,2428,123.45,5084.43,2012,12,Sold,Furnished,2,Bangalore,2023-06-01,2023-07-23,52.0,6,2,2023
73,Whitefield,Apartment,2,1,2517,84.1,3341.28,2024,0,Available,Semi-Furnished,1,Bangalore,2023-03-31,,,3,1,2023
74,Hebbal,Villa,2,2,738,124.12,16818.43,2024,0,Available,Furnished,1,Bangalore,2023-12-15,,,12,4,2023
75,Yelahanka,Independent House,2,1,3492,25.0,715.92,1999,25,Under Negotiation,Unfurnished,2,Bangalore,2022-07-21,,,7,3,2022
76,Indiranagar,Apartment,4,3,2626,105.55,4019.42,2019,5,Available,Semi-Furnished,0,Bangalore,2022-06-28,,,6,2,2022
77,Indiranagar,Villa,3,2,2906,87.18,3000.0,2010,14,Sold,Furnished,2,Bangalore,2022-02-26,2022-07-04,128.0,2,1,2022
78,Electronic City,Villa,1,2,1501,77.52,5164.56,2021,3,Available,Furnished,2,Bangalore,2023-11-29,,,11,4,2023
79,BTM Layout,Villa,4,1,1289,87.29,6771.92,2013,11,Under Negotiation,Unfurnished,1,Bangalore,2023-08-27,,,8,3,2023
80,Hebbal,Apartment,3,1,2639,35.31,1338.01,2008,16,Available,Unfurnished,2,Bangalore,2023-05-16,,,5,2,2023
81,Electronic City,Apartment,3,2,609,79.51,13055.83,2019,5,Available,Unfurnished,2,Bangalore,2022-04-22,,,4,2,2022
82,BTM Layout,Apartment,1,3,860,93.93,10922.09,2024,0,Under Negotiation,Semi-Furnished,1,Bangalore,2022-05-28,,,5,2,2022
83,Whitefield,Independent House,1,1,2542,121.95,4797.4,2010,14,Sold,Furnished,1,Bangalore,2023-12-16,2024-04-18,124.0,12,4,2023
84,Hebbal,Independent House,1,1,2273,72.04,3169.38,2021,3,Available,Unfurnished,1,Bangalore,2023-01-13,,,1,1,2023
85,Whitefield,Apartment,2,1,2819,64.79,2298.33,2009,15,Available,Semi-Furnished,1,Bangalore,2022-12-14,,,12,4,2022
86,Yelahanka,Villa,1,2,3545,72.46,2044.01,2016,8,Under Negotiation,Semi-Furnished,2,Bangalore,2022-12-24,,,12,4,2022
87,Hebbal,Independent House,3,2,2660,107.89,4056.02,1998,26,Sold,Semi-Furnished,2,Bangalore,2022-02-25,2022-06-22,117.0,2,1,2022
88,BTM Layout,Apartment,1,2,1791,93.22,5204.91,2001,23,Sold,Unfurnished,0,Bangalore,2022-11-12,2023-02-11,91.0,11,4,2022
89,Yelahanka,Villa,3,2,2219,71.76,3233.89,2010,14,Available,Unfurnished,0,Bangalore,2022-07-04,,,7,3,2022
90,Indiranagar,Independent House,4,3,920,97.83,10633.7,2018,6,Sold,Furnished,2,Bangalore,2022-02-23,2022-07-27,154.0,2,1,2022
91,BTM Layout,Villa,2,3,1942,87.43,4502.06,2016,8,Available,Furnished,0,Bangalore,2022-02-06,,,2,1,2022
92,Electronic City,Villa,4,2,2236,109.22,4884.62,2015,9,Sold,Unfurnished,2,Bangalore,2023-12-24,2024-02-29,67.0,12,4,2023
93,Indiranagar,Villa,4,3,2976,67.45,2266.47,2016,8,Sold,Semi-Furnished,0,Bangalore,2022-09-27,2023-03-21,175.0,9,3,2022
94,Indiranagar,Villa,3,1,3432,76.81,2238.05,2015,9,Sold,Semi-Furnished,1,Bangalore,2023-05-23,2023-11-09,170.0,5,2,2023
95,Electronic City,Independent House,4,1,3424,75.2,2196.26,2002,22,Sold,Semi-Furnished,0,Bangalore,2022-08-16,2022-12-29,135.0,8,3,2022
96,Hebbal,Independent House,3,1,2594,48.41,1866.23,2011,13,Sold,Furnished,1,Bangalore,2023-03-04,2023-03-21,17.0,3,1,2023
97,Indiranagar,Independent House,1,2,3558,92.4,2596.96,2010,14,Sold,Semi-Furnished,1,Bangalore,2023-12-24,2024-06-09,168.0,12,4,2023
98,BTM Layout,Apartment,1,1,2543,91.53,3599.29,2021,3,Sold,Furnished,1,Bangalore,2022-01-01,2022-03-10,68.0,1,1,2022
99,Yelahanka,Independent House,3,3,2638,85.13,3227.07,2017,7,Sold,Furnished,1,Bangalore,2022-01-23,2022-03-18,54.0,1,1,2022
100,Indiranagar,Villa,1,2,1718,79.14,4606.52,2004,20,Sold,Semi-Furnished,0,Bangalore,2023-05-18,2023-08-08,82.0,5,2,2023
101,BTM Layout,Independent House,2,3,2204,49.62,2251.36,2004,20,Sold,Semi-Furnished,2,Bangalore,2023-03-24,2023-07-30,128.0,3,1,2023
102,Whitefield,Villa,4,1,2965,74.48,2511.97,2021,3,Sold,Unfurnished,1,Bangalore,2023-05-11,2023-10-02,144.0,5,2,2023
103,BTM Layout,Apartment,2,1,835,76.43,9153.29,1996,28,Available,Unfurnished,0,Bangalore,2023-03-01,,,3,1,2023
104,Yelahanka,Villa,4,1,2569,64.94,2527.83,2024,0,Sold,Semi-Furnished,1,Bangalore,2023-12-01,2024-01-26,56.0,12,4,2023
105,BTM Layout,Villa,1,2,933,80.97,8678.46,2003,21,Sold,Furnished,0,Bangalore,2022-01-18,2022-07-13,176.0,1,1,2022
106,Electronic City,Villa,2,3,2508,95.1,3791.87,2011,13,Available,Furnished,0,Bangalore,2023-03-21,,,3,1,2023
107,Yelahanka,Apartment,1,2,975,132.15,13553.85,2005,19,Sold,Furnished,0,Bangalore,2023-07-15,2023-10-31,108.0,7,3,2023
108,Hebbal,Independent House,4,2,1760,89.36,5077.27,2004,20,Under Negotiation,Furnished,2,Bangalore,2023-07-13,,,7,3,2023
109,Whitefield,Independent House,3,1,3235,91.44,2826.58,2016,8,Available,Furnished,0,Bangalore,2023-09-19,,,9,3,2023
110,Electronic City,Apartment,3,2,2170,83.14,3831.34,2019,5,Sold,Unfurnished,0,Bangalore,2022-02-08,2022-07-21,163.0,2,1,2022
111,Hebbal,Villa,2,2,3160,37.03,1171.84,2011,13,Sold,Semi-Furnished,2,Bangalore,2023-12-30,2024-04-23,115.0,12,4,2023
112,BTM Layout,Independent House,1,1,1919,84.34,4395.0,1998,26,Sold,Unfurnished,2,Bangalore,2022-07-29,2022-12-14,138.0,7,3,2022
113,Yelahanka,Apartment,1,2,3991,86.51,2167.63,2010,14,Sold,Furnished,0,Bangalore,2022-07-30,2022-08-15,16.0,7,3,2022
114,Whitefield,Independent House,2,1,3565,146.58,4111.64,2014,10,Sold,Furnished,2,Bangalore,2023-07-19,2023-11-01,105.0,7,3,2023
115,Electronic City,Apartment,3,1,2455,80.19,3266.4,2009,15,Sold,Furnished,1,Bangalore,2022-10-08,2022-12-20,73.0,10,4,2022
116,Hebbal,Villa,4,1,1972,92.54,4692.7,2019,5,Available,Furnished,1,Bangalore,2022-05-13,,,5,2,2022
117,Hebbal,Independent House,2,1,1472,84.13,5715.35,2021,3,Sold,Semi-Furnished,2,Bangalore,2023-03-25,2023-07-15,112.0,3,1,2023
118,Whitefield,Apartment,4,2,1852,55.78,3011.88,2015,9,Sold,Furnished,2,Bangalore,2022-09-21,2022-10-21,30.0,9,3,2022
119,BTM Layout,Independent House,3,1,2917,113.57,3893.38,1999,25,Available,Semi-Furnished,0,Bangalore,2022-04-21,,,4,2,2022
120,Whitefield,Independent House,1,1,2451,103.8,4235.01,2000,24,Sold,Furnished,2,Bangalore,2023-07-09,2023-12-18,162.0,7,3,2023
121,Hebbal,Independent House,3,2,3445,104.78,3041.51,2011,13,Sold,Semi-Furnished,0,Bangalore,2022-08-26,2023-02-10,168.0,8,3,2022
122,Indiranagar,Independent House,2,2,1914,62.27,3253.4,1995,29,Sold,Unfurnished,1,Bangalore,2023-04-02,2023-05-02,30.0,4,2,2023
123,Electronic City,Apartment,1,3,1324,120.07,9068.73,2019,5,Sold,Furnished,2,Bangalore,2023-05-31,2023-09-30,122.0,5,2,2023
124,Whitefield,Villa,2,2,3836,49.95,1302.14,2013,11,Under Negotiation,Semi-Furnished,0,Bangalore,2022-06-22,,,6,2,2022
125,Hebbal,Apartment,2,2,2652,99.67,3758.3,1998,26,Sold,Unfurnished,0,Bangalore,2022-07-12,2022-08-18,37.0,7,3,2022
126,BTM Layout,Apartment,3,3,3498,139.76,3995.43,2011,13,Sold,Furnished,1,Bangalore,2023-05-30,2023-07-25,56.0,5,2,2023
127,Hebbal,Apartment,2,2,677,60.24,8898.08,2003,21,Sold,Furnished,2,Bangalore,2023-07-22,2023-09-11,51.0,7,3,2023
128,BTM Layout,Villa,3,2,3221,70.84,2199.32,2018,6,Sold,Furnished,1,Bangalore,2023-02-13,2023-05-10,86.0,2,1,2023
129,Whitefield,Independent House,1,2,731,87.49,11968.54,1996,28,Sold,Semi-Furnished,0,Bangalore,2023-11-19,2024-04-15,148.0,11,4,2023
130,BTM Layout,Independent House,3,2,1200,72.41,6034.17,2002,22,Available,Semi-Furnished,0,Bangalore,2023-09-20,,,9,3,2023
131,Yelahanka,Independent House,1,3,2372,46.23,1948.99,2009,15,Under Negotiation,Unfurnished,2,Bangalore,2022-03-25,,,3,1,2022
132,Yelahanka,Villa,3,2,1665,86.71,5207.81,2001,23,Sold,Semi-Furnished,0,Bangalore,2023-11-02,2024-04-29,179.0,11,4,2023
133,Yelahanka,Independent House,4,2,2736,58.44,2135.96,2021,3,Sold,Semi-Furnished,2,Bangalore,2022-03-21,2022-07-29,130.0,3,1,2022
134,Indiranagar,Villa,4,3,3049,96.84,3176.12,2000,24,Available,Furnished,1,Bangalore,2023-08-01,,,8,3,2023
135,Whitefield,Independent House,2,1,2943,62.01,2107.03,1995,29,Sold,Furnished,2,Bangalore,2022-07-28,2023-01-08,164.0,7,3,2022
136,Hebbal,Independent House,3,3,2463,123.75,5024.36,2009,15,Sold,Furnished,2,Bangalore,2023-06-06,2023-06-26,20.0,6,2,2023
137,Hebbal,Apartment,3,1,1918,65.42,3410.84,2017,7,Sold,Furnished,0,Bangalore,2022-07-18,2022-09-02,46.0,7,3,2022
138,Indiranagar,Villa,1,3,1215,76.95,6333.33,2020,4,Sold,Furnished,0,Bangalore,2023-07-25,2023-12-31,159.0,7,3,2023
139,BTM Layout,Apartment,2,3,3447,105.34,3055.99,2001,23,Sold,Furnished,2,Bangalore,2022-08-22,2022-10-13,52.0,8,3,2022
140,Indiranagar,Apartment,3,2,3069,54.23,1767.03,2023,1,Available,Furnished,0,Bangalore,2022-09-01,,,9,3,2022
141,BTM Layout,Apartment,2,1,2488,90.69,3645.1,2024,0,Available,Unfurnished,0,Bangalore,2023-01-28,,,1,1,2023
142,BTM Layout,Villa,4,2,1646,117.68,7149.45,2019,5,Sold,Unfurnished,0,Bangalore,2023-07-20,2023-12-26,159.0,7,3,2023
143,Electronic City,Villa,3,1,1174,44.81,3816.87,2011,13,Sold,Unfurnished,2,Bangalore,2023-03-22,2023-05-12,51.0,3,1,2023
144,Hebbal,Independent House,3,3,2790,89.62,3212.19,1996,28,Under Negotiation,Unfurnished,0,Bangalore,2023-01-28,,,1,1,2023
145,Yelahanka,Apartment,2,3,1592,91.5,5747.49,2021,3,Sold,Furnished,2,Bangalore,2022-01-09,2022-06-23,165.0,1,1,2022
146,BTM Layout,Independent House,3,1,3312,104.55,3156.7,2003,21,Available,Unfurnished,0,Bangalore,2023-09-05,,,9,3,2023
147,Electronic City,Apartment,2,2,2792,54.08,1936.96,2023,1,Sold,Furnished,1,Bangalore,2023-12-16,2024-02-29,75.0,12,4,2023
148,Hebbal,Villa,3,2,1848,51.99,2813.31,2003,21,Sold,Unfurnished,0,Bangalore,2022-06-02,2022-09-01,91.0,6,2,2022
149,Yelahanka,Villa,1,2,3654,98.05,2683.36,2007,17,Sold,Semi-Furnished,0,Bangalore,2022-04-20,2022-10-11,174.0,4,2,2022
150,BTM Layout,Villa,2,2,1102,92.42,8386.57,2000,24,Available,Unfurnished,2,Bangalore,2022-09-23,,,9,3,2022
151,BTM Layout,Apartment,3,3,2597,91.26,3514.05,2000,24,Sold,Unfurnished,2,Bangalore,2023-01-08,2023-05-29,141.0,1,1,2023
152,Indiranagar,Villa,4,3,1420,93.66,6595.77,2014,10,Sold,Furnished,0,Bangalore,2022-06-01,2022-09-09,100.0,6,2,2022
153,Indiranagar,Apartment,3,3,2751,68.0,2471.83,2014,10,Sold,Unfurnished,1,Bangalore,2023-08-18,2023-09-08,21.0,8,3,2023
154,Hebbal,Independent House,4,3,3710,90.81,2447.71,2015,9,Available,Semi-Furnished,0,Bangalore,2023-02-19,,,2,1,2023
155,Yelahanka,Apartment,4,3,2570,92.33,3592.61,1997,27,Under Negotiation,Furnished,0,Bangalore,2023-10-08,,,10,4,2023
156,BTM Layout,Independent House,1,2,797,67.14,8424.09,2011,13,Under Negotiation,Furnished,1,Bangalore,2022-11-22,,,11,4,2022
157,Hebbal,Apartment,2,2,2269,131.64,5801.67,2011,13,Under Negotiation,Unfurnished,2,Bangalore,2023-11-03,,,11,4,2023
158,Hebbal,Independent House,3,2,3226,96.85,3002.17,2006,18,Sold,Furnished,0,Bangalore,2023-07-05,2023-12-16,164.0,7,3,2023
159,Whitefield,Villa,1,2,3038,55.22,1817.64,2010,14,Sold,Furnished,2,Bangalore,2022-06-25,2022-10-02,99.0,6,2,2022
160,Indiranagar,Independent House,3,3,1802,101.41,5627.64,2009,15,Sold,Furnished,2,Bangalore,2023-06-09,2023-06-29,20.0,6,2,2023
161,Yelahanka,Villa,4,3,3201,60.63,1894.1,2007,17,Sold,Furnished,1,Bangalore,2022-11-11,2023-04-16,156.0,11,4,2022
162,BTM Layout,Villa,2,3,2071,104.68,5054.56,2017,7,Available,Furnished,1,Bangalore,2022-03-08,,,3,1,2022
163,Hebbal,Independent House,3,1,3686,113.96,3091.7,1995,29,Available,Furnished,2,Bangalore,2023-07-07,,,7,3,2023
164,BTM Layout,Apartment,3,2,2246,64.48,2870.88,2011,13,Sold,Semi-Furnished,0,Bangalore,2022-07-03,2022-12-08,158.0,7,3,2022
165,Whitefield,Apartment,4,2,2292,109.08,4759.16,1997,27,Available,Unfurnished,2,Bangalore,2022-02-04,,,2,1,2022
166,Yelahanka,Apartment,3,3,1912,95.32,4985.36,2020,4,Under Negotiation,Semi-Furnished,0,Bangalore,2023-05-20,,,5,2,2023
167,Hebbal,Apartment,3,2,2635,105.55,4005.69,2009,15,Sold,Furnished,0,Bangalore,2022-03-17,2022-04-03,17.0,3,1,2022
168,BTM Layout,Apartment,4,2,1077,132.42,12295.26,1998,26,Sold,Furnished,1,Bangalore,2023-04-17,2023-09-15,151.0,4,2,2023
169,Indiranagar,Villa,1,3,1854,78.87,4254.05,1998,26,Sold,Unfurnished,0,Bangalore,2023-08-05,2023-10-05,61.0,8,3,2023
170,Whitefield,Apartment,4,1,1522,66.16,4346.91,2012,12,Sold,Semi-Furnished,0,Bangalore,2023-06-07,2023-09-14,99.0,6,2,2023
171,Yelahanka,Villa,1,1,1019,62.76,6158.98,2011,13,Sold,Unfurnished,2,Bangalore,2022-10-10,2023-01-26,108.0,10,4,2022
172,Whitefield,Villa,2,1,2804,64.6,2303.85,2013,11,Sold,Semi-Furnished,1,Bangalore,2023-06-20,2023-07-27,37.0,6,2,2023
173,Indiranagar,Villa,1,3,3197,83.07,2598.37,2005,19,Sold,Furnished,0,Bangalore,2022-10-01,2022-10-18,17.0,10,4,2022
174,Yelahanka,Independent House,1,2,1720,93.53,5437.79,2014,10,Under Negotiation,Unfurnished,0,Bangalore,2023-06-23,,,6,2,2023
175,Whitefield,Independent House,2,3,3668,91.92,2506.0,1997,27,Sold,Unfurnished,1,Bangalore,2022-02-23,2022-07-16,143.0,2,1,2022
176,Electronic City,Villa,1,3,3644,105.68,2900.11,2002,22,Sold,Furnished,2,Bangalore,2022-02-24,2022-05-16,81.0,2,1,2022
177,Indiranagar,Independent House,4,2,1550,85.33,5505.16,2008,16,Under Negotiation,Unfurnished,1,Bangalore,2022-10-04,,,10,4,2022
178,Indiranagar,Apartment,1,1,2936,121.34,4132.83,2020,4,Sold,Semi-Furnished,1,Bangalore,2023-03-19,2023-06-12,85.0,3,1,2023
179,Indiranagar,Apartment,2,1,1877,78.38,4175.81,1995,29,Sold,Semi-Furnished,0,Bangalore,2023-02-22,2023-07-17,145.0,2,1,2023
180,Electronic City,Villa,4,3,2843,153.0,5381.64,2008,16,Available,Semi-Furnished,0,Bangalore,2023-09-24,,,9,3,2023
181,Electronic City,Apartment,2,1,3245,100.64,3101.39,1996,28,Sold,Semi-Furnished,2,Bangalore,2022-08-13,2022-11-02,81.0,8,3,2022
182,BTM Layout,Villa,2,3,2457,63.57,2587.3,2023,1,Available,Furnished,0,Bangalore,2023-07-24,,,7,3,2023
183,Hebbal,Villa,3,3,1116,58.23,5217.74,2017,7,Sold,Unfurnished,0,Bangalore,2022-09-12,2022-11-20,69.0,9,3,2022
184,Whitefield,Apartment,3,2,2258,97.06,4298.49,1998,26,Sold,Semi-Furnished,1,Bangalore,2022-06-25,2022-11-18,146.0,6,2,2022
